school_code	boro	number_of_classes	core_subject_ms_core_and_9_12_only_	school_name	size_of_smallest_class	total_register	data_source	program_type	csd	core_course_ms_core_and_9_12_only_	average_class_size	size_of_largest_class	service_category_k_9_only_	grade_
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	18	18	ATS	GEN ED	1	-	18.0	18	-	0K
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	19	19	ATS	CTT	1	-	19.0	19	-	0K
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	22	22	ATS	GEN ED	1	-	22.0	22	-	01
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	22	22	ATS	CTT	1	-	22.0	22	-	01
M015	M	2	-	P.S. 015 ROBERTO CLEMENTE	16	32	ATS	GEN ED	1	-	16.0	16	-	02
M015	M	2	-	P.S. 015 ROBERTO CLEMENTE	16	32	ATS	GEN ED	1	-	16.0	16	-	03
M015	M	2	-	P.S. 015 ROBERTO CLEMENTE	16	36	ATS	GEN ED	1	-	18.0	20	-	04
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	19	19	ATS	GEN ED	1	-	19.0	19	-	05
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	23	23	ATS	CTT	1	-	23.0	23	-	05
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	12	12	ATS	SPEC ED	1	-	12.0	12	12:1:1	0K-09
M019	M	2	-	P.S. 019 ASHER LEVY	16	36	ATS	GEN ED	1	-	18.0	20	-	01
M019	M	1	-	P.S. 019 ASHER LEVY	12	12	ATS	G&T	1	-	12.0	12	-	01
M019	M	1	-	P.S. 019 ASHER LEVY	23	23	ATS	GEN ED	1	-	23.0	23	-	02
M019	M	1	-	P.S. 019 ASHER LEVY	21	21	ATS	CTT	1	-	21.0	21	-	02
M019	M	1	-	P.S. 019 ASHER LEVY	27	27	ATS	GEN ED	1	-	27.0	27	-	03
M019	M	1	-	P.S. 019 ASHER LEVY	26	26	ATS	CTT	1	-	26.0	26	-	03
M019	M	2	-	P.S. 019 ASHER LEVY	23	47	ATS	GEN ED	1	-	23.5	24	-	04
M019	M	2	-	P.S. 019 ASHER LEVY	21	43	ATS	GEN ED	1	-	21.5	22	-	05
M019	M	1	-	P.S. 019 ASHER LEVY	21	21	ATS	SPEC ED	1	-	21.0	21	12:1	0K-09
M019	M	1	-	P.S. 019 ASHER LEVY	21	5	ATS	SPEC ED	1	-	5.0	21	12:1	0K-09
M019	M	1	-	P.S. 019 ASHER LEVY	21	21	ATS	SPEC ED	1	-	21.0	21	12:1:1	0K-09
M019	M	1	-	P.S. 019 ASHER LEVY	21	10	ATS	SPEC ED	1	-	10.0	21	12:1:1	0K-09
M020	M	3	-	P.S. 020 ANNA SILVER	19	58	ATS	GEN ED	1	-	19.3	20	-	0K
M020	M	1	-	P.S. 020 ANNA SILVER	20	20	ATS	CTT	1	-	20.0	20	-	0K
M020	M	3	-	P.S. 020 ANNA SILVER	20	65	ATS	GEN ED	1	-	21.7	24	-	01
M020	M	1	-	P.S. 020 ANNA SILVER	22	22	ATS	CTT	1	-	22.0	22	-	01
M020	M	4	-	P.S. 020 ANNA SILVER	22	94	ATS	GEN ED	1	-	23.5	25	-	02
M020	M	4	-	P.S. 020 ANNA SILVER	23	95	ATS	GEN ED	1	-	23.8	25	-	03
M020	M	3	-	P.S. 020 ANNA SILVER	17	63	ATS	GEN ED	1	-	21.0	24	-	04
M020	M	1	-	P.S. 020 ANNA SILVER	25	25	ATS	CTT	1	-	25.0	25	-	04
M020	M	4	-	P.S. 020 ANNA SILVER	19	86	ATS	GEN ED	1	-	21.5	23	-	05
M020	M	3	-	P.S. 020 ANNA SILVER	9	29	ATS	SPEC ED	1	-	9.7	10	12:1:1	0K-09
M034	M	2	-	P.S. 034 FRANKLIN D. ROOSEVELT	16	35	ATS	GEN ED	1	-	17.5	19	-	0K
M034	M	2	-	P.S. 034 FRANKLIN D. ROOSEVELT	15	30	ATS	GEN ED	1	-	15.0	15	-	01
M034	M	2	-	P.S. 034 FRANKLIN D. ROOSEVELT	16	34	ATS	GEN ED	1	-	17.0	18	-	02
M034	M	2	-	P.S. 034 FRANKLIN D. ROOSEVELT	18	37	ATS	GEN ED	1	-	18.5	19	-	03
M034	M	2	-	P.S. 034 FRANKLIN D. ROOSEVELT	18	37	ATS	GEN ED	1	-	18.5	19	-	04
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	22	22	ATS	GEN ED	1	-	22.0	22	-	05
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	21	21	ATS	CTT	1	-	21.0	21	-	05
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	23	23	ATS	GEN ED	1	-	23.0	23	-	06
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	24	24	ATS	CTT	1	-	24.0	24	-	06
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	26	26	ATS	GEN ED	1	-	26.0	26	-	07
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	30	30	ATS	CTT	1	-	30.0	30	-	07
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	31	31	ATS	GEN ED	1	-	31.0	31	-	08
M034	M	1	-	P.S. 034 FRANKLIN D. ROOSEVELT	33	33	ATS	CTT	1	-	33.0	33	-	08
M034	M	2	-	P.S. 034 FRANKLIN D. ROOSEVELT	2	12	ATS	SPEC ED	1	-	6.0	10	12:1	0K-09
M034	M	6	ENGLISH	P.S. 034 FRANKLIN D. ROOSEVELT	23	167	ATS	GEN ED	1	-	27.8	33	-	MS CORE
M034	M	6	SOCIAL STUDIES	P.S. 034 FRANKLIN D. ROOSEVELT	23	167	ATS	GEN ED	1	-	27.8	33	-	MS CORE
M034	M	6	SCIENCE	P.S. 034 FRANKLIN D. ROOSEVELT	23	167	ATS	GEN ED	1	-	27.8	33	-	MS CORE
M034	M	6	MATH	P.S. 034 FRANKLIN D. ROOSEVELT	23	167	ATS	GEN ED	1	-	27.8	33	-	MS CORE
M063	M	1	-	P.S. 063 WILLIAM MCKINLEY	15	15	ATS	GEN ED	1	-	15.0	15	-	0K
M063	M	1	-	P.S. 063 WILLIAM MCKINLEY	18	18	ATS	GEN ED	1	-	18.0	18	-	01
M063	M	1	-	P.S. 063 WILLIAM MCKINLEY	12	12	ATS	GEN ED	1	-	12.0	12	-	02
M063	M	1	-	P.S. 063 WILLIAM MCKINLEY	15	15	ATS	CTT	1	-	15.0	15	-	02
M063	M	1	-	P.S. 063 WILLIAM MCKINLEY	20	20	ATS	GEN ED	1	-	20.0	20	-	03
M063	M	1	-	P.S. 063 WILLIAM MCKINLEY	20	20	ATS	CTT	1	-	20.0	20	-	03
M063	M	2	-	P.S. 063 WILLIAM MCKINLEY	12	27	ATS	GEN ED	1	-	13.5	15	-	04
M063	M	2	-	P.S. 063 WILLIAM MCKINLEY	13	28	ATS	GEN ED	1	-	14.0	15	-	05
M063	M	1	-	P.S. 063 WILLIAM MCKINLEY	11	11	ATS	SPEC ED	1	-	11.0	11	12:1:1	0K-09
M064	M	1	-	P.S. 064 ROBERT SIMON	17	17	ATS	GEN ED	1	-	17.0	17	-	0K
M064	M	1	-	P.S. 064 ROBERT SIMON	22	22	ATS	CTT	1	-	22.0	22	-	0K
M064	M	1	-	P.S. 064 ROBERT SIMON	23	23	ATS	GEN ED	1	-	23.0	23	-	01
M064	M	1	-	P.S. 064 ROBERT SIMON	20	20	ATS	CTT	1	-	20.0	20	-	01
M064	M	1	-	P.S. 064 ROBERT SIMON	25	25	ATS	GEN ED	1	-	25.0	25	-	02
M064	M	1	-	P.S. 064 ROBERT SIMON	21	21	ATS	CTT	1	-	21.0	21	-	02
M064	M	1	-	P.S. 064 ROBERT SIMON	21	21	ATS	GEN ED	1	-	21.0	21	-	03
M064	M	1	-	P.S. 064 ROBERT SIMON	24	24	ATS	CTT	1	-	24.0	24	-	03
M064	M	2	-	P.S. 064 ROBERT SIMON	19	38	ATS	GEN ED	1	-	19.0	19	-	04
M064	M	1	-	P.S. 064 ROBERT SIMON	22	22	ATS	GEN ED	1	-	22.0	22	-	05
M064	M	1	-	P.S. 064 ROBERT SIMON	22	22	ATS	CTT	1	-	22.0	22	-	05
M064	M	2	-	P.S. 064 ROBERT SIMON	9	19	ATS	SPEC ED	1	-	9.5	10	12:1	0K-09
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	28	28	ATS	GEN ED	1	-	28.0	28	-	0K
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	25	25	ATS	CTT	1	-	25.0	25	-	0K
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	17	17	ATS	G&T	1	-	17.0	17	-	0K
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	27	27	ATS	GEN ED	1	-	27.0	27	-	01
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	25	25	ATS	CTT	1	-	25.0	25	-	01
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	29	29	ATS	G&T	1	-	29.0	29	-	01
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	26	26	ATS	GEN ED	1	-	26.0	26	-	02
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	20	20	ATS	CTT	1	-	20.0	20	-	02
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	26	26	ATS	G&T	1	-	26.0	26	-	02
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	22	22	ATS	GEN ED	1	-	22.0	22	-	03
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	20	20	ATS	CTT	1	-	20.0	20	-	03
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	21	21	ATS	G&T	1	-	21.0	21	-	03
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	29	29	ATS	GEN ED	1	-	29.0	29	-	04
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	26	26	ATS	CTT	1	-	26.0	26	-	04
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	28	28	ATS	G&T	1	-	28.0	28	-	04
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	27	27	ATS	CTT	1	-	27.0	27	-	05
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	27	27	ATS	G&T	1	-	27.0	27	-	05
M110	M	1	-	P.S. 110 FLORENCE NIGHTINGALE	13	13	ATS	SPEC ED	1	-	13.0	13	12:1:1	0K-09
M134	M	3	-	P.S. 134 HENRIETTA SZOLD	17	58	ATS	GEN ED	1	-	19.3	21	-	0K
M134	M	3	-	P.S. 134 HENRIETTA SZOLD	15	57	ATS	GEN ED	1	-	19.0	22	-	01
M134	M	2	-	P.S. 134 HENRIETTA SZOLD	22	45	ATS	GEN ED	1	-	22.5	23	-	02
M134	M	3	-	P.S. 134 HENRIETTA SZOLD	15	52	ATS	GEN ED	1	-	17.3	19	-	03
M134	M	3	-	P.S. 134 HENRIETTA SZOLD	21	63	ATS	GEN ED	1	-	21.0	21	-	04
M134	M	2	-	P.S. 134 HENRIETTA SZOLD	27	55	ATS	GEN ED	1	-	27.5	28	-	05
M134	M	2	-	P.S. 134 HENRIETTA SZOLD	12	25	ATS	SPEC ED	1	-	12.5	13	12:1	0K-09
M137	M	2	-	P.S. 137 JOHN L. BERNSTEIN	13	30	ATS	GEN ED	1	-	15.0	17	-	0K
M137	M	2	-	P.S. 137 JOHN L. BERNSTEIN	16	33	ATS	GEN ED	1	-	16.5	17	-	01
M137	M	2	-	P.S. 137 JOHN L. BERNSTEIN	12	26	ATS	GEN ED	1	-	13.0	14	-	02
M137	M	1	-	P.S. 137 JOHN L. BERNSTEIN	22	22	ATS	GEN ED	1	-	22.0	22	-	03
M137	M	2	-	P.S. 137 JOHN L. BERNSTEIN	15	32	ATS	GEN ED	1	-	16.0	17	-	04
M137	M	1	-	P.S. 137 JOHN L. BERNSTEIN	20	20	ATS	GEN ED	1	-	20.0	20	-	05
M137	M	4	-	P.S. 137 JOHN L. BERNSTEIN	7	32	ATS	SPEC ED	1	-	8.0	10	12:1:1	0K-09
M140	M	2	-	P.S. 140 NATHAN STRAUS	17	35	ATS	GEN ED	1	-	17.5	18	-	0K
M140	M	1	-	P.S. 140 NATHAN STRAUS	21	21	ATS	GEN ED	1	-	21.0	21	-	01
M140	M	1	-	P.S. 140 NATHAN STRAUS	25	25	ATS	GEN ED	1	-	25.0	25	-	02
M140	M	2	-	P.S. 140 NATHAN STRAUS	14	32	ATS	GEN ED	1	-	16.0	18	-	03
M140	M	1	-	P.S. 140 NATHAN STRAUS	16	16	ATS	GEN ED	1	-	16.0	16	-	04
M140	M	1	-	P.S. 140 NATHAN STRAUS	22	22	ATS	CTT	1	-	22.0	22	-	04
M140	M	1	-	P.S. 140 NATHAN STRAUS	27	27	ATS	GEN ED	1	-	27.0	27	-	05
M140	M	2	-	P.S. 140 NATHAN STRAUS	27	58	ATS	GEN ED	1	-	29.0	31	-	06
M140	M	1	-	P.S. 140 NATHAN STRAUS	32	32	ATS	GEN ED	1	-	32.0	32	-	07
M140	M	1	-	P.S. 140 NATHAN STRAUS	25	25	ATS	CTT	1	-	25.0	25	-	07
M140	M	2	-	P.S. 140 NATHAN STRAUS	29	60	ATS	GEN ED	1	-	30.0	31	-	08
M140	M	1	-	P.S. 140 NATHAN STRAUS	11	11	ATS	SPEC ED	1	-	11.0	11	12:1	0K-09
M140	M	1	-	P.S. 140 NATHAN STRAUS	11	10	ATS	SPEC ED	1	-	10.0	11	12:1:1	0K-09
M140	M	7	ENGLISH	P.S. 140 NATHAN STRAUS	11	175	ATS	GEN ED	1	-	25.0	32	-	MS CORE
M140	M	7	SOCIAL STUDIES	P.S. 140 NATHAN STRAUS	11	175	ATS	GEN ED	1	-	25.0	32	-	MS CORE
M140	M	9	SCIENCE	P.S. 140 NATHAN STRAUS	11	198	ATS	GEN ED	1	-	22.0	32	-	MS CORE
M140	M	6	MATH	P.S. 140 NATHAN STRAUS	11	175	ATS	GEN ED	1	-	29.2	60	-	MS CORE
M142	M	2	-	P.S. 142 AMALIA CASTRO	24	48	ATS	GEN ED	1	-	24.0	24	-	0K
M142	M	1	-	P.S. 142 AMALIA CASTRO	18	18	ATS	CTT	1	-	18.0	18	-	0K
M142	M	3	-	P.S. 142 AMALIA CASTRO	17	53	ATS	GEN ED	1	-	17.7	18	-	01
M142	M	1	-	P.S. 142 AMALIA CASTRO	19	19	ATS	CTT	1	-	19.0	19	-	01
M142	M	2	-	P.S. 142 AMALIA CASTRO	21	44	ATS	GEN ED	1	-	22.0	23	-	02
M142	M	1	-	P.S. 142 AMALIA CASTRO	24	24	ATS	CTT	1	-	24.0	24	-	02
M142	M	3	-	P.S. 142 AMALIA CASTRO	19	58	ATS	GEN ED	1	-	19.3	20	-	03
M142	M	2	-	P.S. 142 AMALIA CASTRO	20	41	ATS	GEN ED	1	-	20.5	21	-	04
M142	M	1	-	P.S. 142 AMALIA CASTRO	22	22	ATS	CTT	1	-	22.0	22	-	04
M142	M	1	-	P.S. 142 AMALIA CASTRO	27	27	ATS	GEN ED	1	-	27.0	27	-	05
M142	M	1	-	P.S. 142 AMALIA CASTRO	26	26	ATS	CTT	1	-	26.0	26	-	05
M142	M	1	-	P.S. 142 AMALIA CASTRO	13	13	ATS	SPEC ED	1	-	13.0	13	12:1	0K-09
M142	M	1	-	P.S. 142 AMALIA CASTRO	13	12	ATS	SPEC ED	1	-	12.0	13	12:1:1	0K-09
M184	M	3	-	P.S. 184M SHUANG WEN	21	64	ATS	GEN ED	1	-	21.3	22	-	0K
M184	M	3	-	P.S. 184M SHUANG WEN	20	62	ATS	GEN ED	1	-	20.7	21	-	01
M184	M	4	-	P.S. 184M SHUANG WEN	20	80	ATS	GEN ED	1	-	20.0	20	-	02
M184	M	3	-	P.S. 184M SHUANG WEN	22	69	ATS	GEN ED	1	-	23.0	24	-	03
M184	M	2	-	P.S. 184M SHUANG WEN	28	57	ATS	GEN ED	1	-	28.5	29	-	04
M184	M	2	-	P.S. 184M SHUANG WEN	28	58	ATS	GEN ED	1	-	29.0	30	-	05
M184	M	2	-	P.S. 184M SHUANG WEN	26	54	ATS	GEN ED	1	-	27.0	28	-	06
M184	M	2	-	P.S. 184M SHUANG WEN	28	56	ATS	GEN ED	1	-	28.0	28	-	07
M184	M	2	-	P.S. 184M SHUANG WEN	26	53	ATS	GEN ED	1	-	26.5	27	-	08
M184	M	6	ENGLISH	P.S. 184M SHUANG WEN	26	163	ATS	GEN ED	1	-	27.2	28	-	MS CORE
M184	M	6	SOCIAL STUDIES	P.S. 184M SHUANG WEN	26	163	ATS	GEN ED	1	-	27.2	28	-	MS CORE
M184	M	6	SCIENCE	P.S. 184M SHUANG WEN	26	163	ATS	GEN ED	1	-	27.2	28	-	MS CORE
M184	M	7	MATH	P.S. 184M SHUANG WEN	5	159	ATS	GEN ED	1	-	22.7	28	-	MS CORE
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	20	20	ATS	GEN ED	1	-	20.0	20	-	0K
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	19	19	ATS	GEN ED	1	-	19.0	19	-	01
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	19	19	ATS	GEN ED	1	-	19.0	19	-	02
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	17	17	ATS	CTT	1	-	17.0	17	-	02
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	20	20	ATS	GEN ED	1	-	20.0	20	-	03
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	26	26	ATS	CTT	1	-	26.0	26	-	03
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	24	24	ATS	GEN ED	1	-	24.0	24	-	05
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	21	21	ATS	GEN ED	1	-	21.0	21	-	06
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	19	19	ATS	CTT	1	-	19.0	19	-	06
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	25	25	ATS	GEN ED	1	-	25.0	25	-	07
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	35	35	ATS	CTT	1	-	35.0	35	-	07
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	31	31	ATS	GEN ED	1	-	31.0	31	-	08
M188	M	1	-	P.S. 188 THE ISLAND SCHOOL	29	29	ATS	CTT	1	-	29.0	29	-	08
M188	M	6	ENGLISH	P.S. 188 THE ISLAND SCHOOL	21	162	ATS	GEN ED	1	-	27.0	35	-	MS CORE
M188	M	6	SOCIAL STUDIES	P.S. 188 THE ISLAND SCHOOL	21	162	ATS	GEN ED	1	-	27.0	35	-	MS CORE
M188	M	6	SCIENCE	P.S. 188 THE ISLAND SCHOOL	21	162	ATS	GEN ED	1	-	27.0	35	-	MS CORE
M188	M	7	MATH	P.S. 188 THE ISLAND SCHOOL	5	167	ATS	GEN ED	1	-	23.9	35	-	MS CORE
M292	M	3	-	HENRY STREET SCHOOL FOR INTERNATIONAL ST	13	44	ATS	GEN ED	1	-	14.7	17	-	06
M292	M	2	-	HENRY STREET SCHOOL FOR INTERNATIONAL ST	21	43	ATS	GEN ED	1	-	21.5	22	-	07
M292	M	2	-	HENRY STREET SCHOOL FOR INTERNATIONAL ST	30	60	ATS	GEN ED	1	-	30.0	30	-	08
M292	M	3	-	HENRY STREET SCHOOL FOR INTERNATIONAL ST	3	17	ATS	SPEC ED	1	-	5.7	9	12:1	0K-09
M292	M	1	-	HENRY STREET SCHOOL FOR INTERNATIONAL ST	3	10	ATS	SPEC ED	1	-	10.0	9	12:1:1	0K-09
M292	M	10	ENGLISH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	5	168	HSST	GEN ED	1	-	16.8	31	-	MS CORE
M292	M	10	SOCIAL STUDIES	HENRY STREET SCHOOL FOR INTERNATIONAL ST	5	168	HSST	GEN ED	1	-	16.8	31	-	MS CORE
M292	M	10	SCIENCE	HENRY STREET SCHOOL FOR INTERNATIONAL ST	5	168	HSST	GEN ED	1	-	16.8	31	-	MS CORE
M292	M	10	MATH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	5	168	HSST	GEN ED	1	-	16.8	31	-	MS CORE
M292	M	4	ENGLISH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	16	80	HSST	GEN ED	1	ENGLISH 9	20.0	22	-	09-12
M292	M	4	ENGLISH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	11	80	HSST	GEN ED	1	ENGLISH 10	20.0	30	-	09-12
M292	M	3	ENGLISH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	18	63	HSST	GEN ED	1	ENGLISH 11	21.0	27	-	09-12
M292	M	2	ENGLISH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	25	52	HSST	GEN ED	1	ENGLISH 12	26.0	27	-	09-12
M292	M	1	ENGLISH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	21	21	HSST	GEN ED	1	OTHER	21.0	21	-	09-12
M292	M	5	SOCIAL STUDIES	HENRY STREET SCHOOL FOR INTERNATIONAL ST	11	92	HSST	GEN ED	1	GLOBAL HISTORY 9	18.4	25	-	09-12
M292	M	4	SOCIAL STUDIES	HENRY STREET SCHOOL FOR INTERNATIONAL ST	17	80	HSST	GEN ED	1	GLOBAL HISTORY 10	20.0	24	-	09-12
M292	M	3	SOCIAL STUDIES	HENRY STREET SCHOOL FOR INTERNATIONAL ST	17	62	HSST	GEN ED	1	US HISTORY	20.7	25	-	09-12
M292	M	2	SOCIAL STUDIES	HENRY STREET SCHOOL FOR INTERNATIONAL ST	25	52	HSST	GEN ED	1	US GOVERNMENT	26.0	27	-	09-12
M292	M	1	SOCIAL STUDIES	HENRY STREET SCHOOL FOR INTERNATIONAL ST	18	18	HSST	GEN ED	1	OTHER	18.0	18	-	09-12
M292	M	-2	SOCIAL STUDIES	HENRY STREET SCHOOL FOR INTERNATIONAL ST		-29	HSST	GEN ED	1	MATCHED SECTIONS			-	09-12
M292	M	8	SCIENCE	HENRY STREET SCHOOL FOR INTERNATIONAL ST	12	161	HSST	GEN ED	1	LIVING ENVIRONMENT	20.1	22	-	09-12
M292	M	14	SCIENCE	HENRY STREET SCHOOL FOR INTERNATIONAL ST	16	322	HSST	GEN ED	1	EARTH SCIENCE	23.0	29	-	09-12
M292	M	1	MATH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	12	12	HSST	GEN ED	1	MATH A	12.0	12	-	09-12
M292	M	4	MATH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	19	77	HSST	GEN ED	1	MATH B	19.3	20	-	09-12
M292	M	6	MATH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	22	153	HSST	GEN ED	1	ALGEBRA	25.5	28	-	09-12
M292	M	3	MATH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	17	58	HSST	GEN ED	1	GEOMETRY	19.3	22	-	09-12
M292	M	1	MATH	HENRY STREET SCHOOL FOR INTERNATIONAL ST	10	10	HSST	GEN ED	1	OTHER	10.0	10	-	09-12
M292	M	1	ALL SUBJECTS	HENRY STREET SCHOOL FOR INTERNATIONAL ST		29	HSST	CTT	1	ASSUMED TEAM TEACHING			-	09-12
M301	M	2	-	TECHNOLOGY ARTS AND SCIENCES STUDIO	24	51	ATS	GEN ED	1	-	25.5	27	-	06
M301	M	1	-	TECHNOLOGY ARTS AND SCIENCES STUDIO	21	21	ATS	CTT	1	-	21.0	21	-	06
M301	M	3	-	TECHNOLOGY ARTS AND SCIENCES STUDIO	24	76	ATS	GEN ED	1	-	25.3	27	-	07
M301	M	2	-	TECHNOLOGY ARTS AND SCIENCES STUDIO	24	51	ATS	GEN ED	1	-	25.5	27	-	08
M301	M	3	-	TECHNOLOGY ARTS AND SCIENCES STUDIO	7	31	ATS	SPEC ED	1	-	10.3	12	12:1	0K-09
M301	M	11	ENGLISH	TECHNOLOGY ARTS AND SCIENCES STUDIO	6	225	HSST	GEN ED	1	-	20.5	28	-	MS CORE
M301	M	11	SOCIAL STUDIES	TECHNOLOGY ARTS AND SCIENCES STUDIO	6	225	HSST	GEN ED	1	-	20.5	28	-	MS CORE
M301	M	11	SCIENCE	TECHNOLOGY ARTS AND SCIENCES STUDIO	6	225	HSST	GEN ED	1	-	20.5	28	-	MS CORE
M301	M	11	MATH	TECHNOLOGY ARTS AND SCIENCES STUDIO	6	225	HSST	GEN ED	1	-	20.5	28	-	MS CORE
M315	M	1	-	THE EAST VILLAGE COMMUNITY SCHOOL	18	18	ATS	GEN ED	1	-	18.0	18	-	0K
M315	M	1	-	THE EAST VILLAGE COMMUNITY SCHOOL	11	11	ATS	CTT	1	-	11.0	11	-	0K
M315	M	1	-	THE EAST VILLAGE COMMUNITY SCHOOL	24	24	ATS	GEN ED	1	-	24.0	24	-	01
M315	M	1	-	THE EAST VILLAGE COMMUNITY SCHOOL	5	5	ATS	CTT	1	-	5.0	5	-	01
M315	M	2	-	THE EAST VILLAGE COMMUNITY SCHOOL	7	25	ATS	GEN ED	1	-	12.5	18	-	02
M315	M	1	-	THE EAST VILLAGE COMMUNITY SCHOOL	14	14	ATS	GEN ED	1	-	14.0	14	-	03
M315	M	1	-	THE EAST VILLAGE COMMUNITY SCHOOL	21	21	ATS	GEN ED	1	-	21.0	21	-	04
M315	M	1	-	THE EAST VILLAGE COMMUNITY SCHOOL	23	23	ATS	GEN ED	1	-	23.0	23	-	05
M332	M	3	-	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	19	60	ATS	GEN ED	1	-	20.0	21	-	06
M332	M	2	-	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	29	59	ATS	GEN ED	1	-	29.5	30	-	07
M332	M	1	-	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	25	25	ATS	CTT	1	-	25.0	25	-	07
M332	M	3	-	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	27	86	ATS	GEN ED	1	-	28.7	30	-	08
M332	M	2	-	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	8	18	ATS	SPEC ED	1	-	9.0	10	12:1	0K-09
M332	M	1	-	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	8	2	ATS	SPEC ED	1	-	2.0	10	12:1:1	0K-09
M332	M	20	ENGLISH	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	5	447	HSST	GEN ED	1	-	22.4	30	-	MS CORE
M332	M	11	SCIENCE	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	5	228	HSST	GEN ED	1	-	20.7	30	-	MS CORE
M332	M	11	MATH	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	5	229	HSST	GEN ED	1	-	20.8	30	-	MS CORE
M345	M	2	-	COLLABORATIVE ACADEMY OF SCIENCE TECHNOL	30	60	ATS	GEN ED	1	-	30.0	30	-	06
M345	M	1	-	COLLABORATIVE ACADEMY OF SCIENCE TECHNOL	30	30	ATS	CTT	1	-	30.0	30	-	06
M345	M	2	-	COLLABORATIVE ACADEMY OF SCIENCE TECHNOL	30	61	ATS	GEN ED	1	-	30.5	31	-	07
M345	M	1	-	COLLABORATIVE ACADEMY OF SCIENCE TECHNOL	30	30	ATS	CTT	1	-	30.0	30	-	07
M345	M	2	-	COLLABORATIVE ACADEMY OF SCIENCE TECHNOL	29	61	ATS	GEN ED	1	-	30.5	32	-	08
M345	M	1	-	COLLABORATIVE ACADEMY OF SCIENCE TECHNOL	30	30	ATS	CTT	1	-	30.0	30	-	08
M345	M	3	-	COLLABORATIVE ACADEMY OF SCIENCE TECHNOL	2	20	ATS	SPEC ED	1	-	6.7	11	12:1:1	0K-09
