overall_grade	additional_credit	_state_accountability_status	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	school_level_	most_recent_quality_review_score	_school_support_organization
A	8.3	In Good Standing	A	2.84	103.0	Andrea Cyprys	58.6	08X337	A	THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE	11.1	25.0	A	8	ESMS	A	Middle	Well Developed (2007-08)	CEI-PEA
A	3.0	In Good Standing	A	2.92	82.2	Cameron Berube	42.8	08X366		URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT	11.4	25.0	A	8	ESMS	A	Middle	Proficient (2008-09)	ESO
A	9.0	In Good Standing	C	2.94	92.8	Miriam Lazar	50.8	08X367		ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS	8.0	25.0	A	8	ESMS	A	Middle	Proficient (2008-09)	LLSO
A	3.0	In Good Standing	A	3.02	94.1	Jennifer Joynt	52.7	08X371		URBAN INSTITUTE OF MATHEMATICS	13.4	25.0	A	8	ESMS	A	Middle	Well Developed (2008-09)	LLSO
A	5.3	In Good Standing	C	3.04	68.1	Mark D. Clarke	36.7	08X375		THE BRONX MATHEMATICS PREPARATORY SCHOOL	7.1	19.0	B	8	ESMS	A	Middle	Proficient (2008-09)	LLSO
A	3.0	In Good Standing	A	2.94	96.0	Nancy Jacqueline Diaz	56.6	08X376		ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL	11.4	25.0	A	8	ESMS	A	Middle	Proficient (2008-09)	ESO
B	0.0	In Good Standing	C	2.15	57.0	MATTHEW ROBERTS	38.5	08X377		BRONX COMMUNITY HIGH SCHOOL	7.4	11.1	B	8	HS	C	Transfer School	Underdeveloped with Proficient Features (2008-09)	New Visions
""				2.15		Lucinda Mendez		08X381		BRONX HAVEN HIGH SCHOOL				8	HS		Transfer School		New Visions
""	2.5	In Good Standing																	
Pending				2.18		Janet Saraceno Test		08X405		HERBERT H. LEHMAN HIGH SCHOOL				8	HS		High School		LLSO
""		Restructuring (Advanced) -  Comprehensive							B									Proficient (2008-09)	
""				2.87		John Hughes		08X424		THE HUNTS POINT SCHOOL				8	ESMS		Middle		LLSO
""		In Good Standing																No QR in last two years	
""						John Tornifolio		08X450		ADLAI E. STEVENSON HIGH SCHOOL				8	HS		High School		LLSO
""	1	Restructuring (Advanced) -  Comprehensive																	
C	2	Improvement (year 1) -  Comprehensive	B	1.95	49.5	Sam Decker	23.9	08X452	B	BRONX GUILD	9.5	14.1	D	8	HS	B	High School	Proficient (2008-09)	ESO
B	1	In Good Standing	C	2.05	56.6	Ms. Grismaldy Laboy-Wilson	31.6	08X519	C	FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE	7.9	16.1	C	8	HS	B	High School	Proficient (2008-09)	LLSO
C	0	Improvement (year 2) -  Basic	A	2.04	50.6	Joshua Laub	28.3	08X530	B	BANANA KELLY HIGH SCHOOL	11.1	11.2	C	8	HS	C	High School	Well Developed (2007-08)	New Visions
C	0	Improvement (year 1) -  Comprehensive	B	1.86	44.1	William Mulqueen	26.2	08X540	B	SCHOOL FOR COMMUNITY RESEARCH AND LEARNING	8.5	9.4	D	8	HS	D	High School	Proficient (2007-08)	New Visions
F	0.0	In Good Standing	F	2.23	33.5	PATRICE ENGLISH-YOUNG	17.4	08X560	C	HIGH SCHOOL X560 - BRONX ACADEMY HIGH SCHOOL	4.0	12.1	F	8	HS	C	Transfer School	Proficient (2008-09)	ESO
C	1	Corrective Action (year 2) -  Comprehensive	D	1.95	53.1	SHARRON SMALLS	33.1	08X650	D	JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS	6.3	12.7	B	8	HS	C	High School	Proficient (2008-09)	CEI-PEA
""						Donald Amaker		08X686		NEW SCHOOL FOR ARTS AND SCIENCE				8	HS		High School		LLSO
""	2	Restructuring (year 1) -  Focused																	
""						Alexei Nichols		09X002		P.S. 002 MORRISANIA				9	ESMS		Elementary		ICI
""		In Good Standing							D									Proficient (2007-08)	
A	11.3	Restructuring (Advanced) -  Focused	B	67.52	104.2	Vincent Resto	60.0	09X004	A	P.S./M.S. 004 CROTONA PARK WEST	9.4	23.5	A	9	ESMS	A	K-8	Well Developed (2007-08)	ESO
A	1.5	In Good Standing	F	63.85	71.2	Elizabeth Hachar	49.9	09X011	C	P.S. 011 HIGHBRIDGE	3.6	16.2	A	9	ESMS	B	Elementary	Proficient (2008-09)	ICI
A	1.5	Restructuring (Advanced) -  Comprehensive	A	2.79	70.4	Linda Rosenbury	40.6	09X022	C	J.H.S. 022 JORDAN L. MOTT	10.5	17.8	B	9	ESMS	A	Middle	Proficient (2008-09)	ESO
A	10.5	In Good Standing	B	68.37	103.0	Marie Barresi	60.0	09X028	B	P.S. 028 MOUNT HOPE	9.0	23.5	A	9	ESMS	A	Elementary	Well Developed (2008-09)	ESO
A	4.5	In Good Standing	A	63.28	75.0	Graciela Navarro	39.3	09X035	B	P.S. 035 FRANZ SIEGEL	10.4	20.8	B	9	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	8.3	In Good Standing	A	65.79	85.8	Camille Wallin	44.3	09X042	A	P.S. 042 CLAREMONT	12.1	21.1	A	9	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	9.8	In Good Standing	B	59.53	83.6	Collin Wolfe	47.0	09X053	C	P.S. 053 BASHEER QUISIM	8.6	18.2	A	9	ESMS	A	Elementary	Proficient (2008-09)	ICI
A	7.5	Restructuring (Advanced) -  Focused	A	67.19	85.3	Luis Torres	49.0	09X055	B	P.S. 055 BENJAMIN FRANKLIN	10.7	18.1	A	9	ESMS	A	Elementary	Proficient (2007-08)	ICI
C	1.5	In Good Standing	F	65.94	52.5	Velma Gunn	31.9	09X058	B	P.S. 058	4.3	14.8	C	9	ESMS	B	Elementary	Well Developed (2007-08)	CEI-PEA
A	4.5	In Good Standing	A	65.68	87.9	Reinaldo Diaz-Lens	45.4	09X063	A	P.S. 063 AUTHOR'S ACADEMY	13.0	25.0	A	9	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	6.0	Restructuring (Advanced) -  Focused	B	68.51	73.2	Beverly Harrigan	43.6	09X064	C	P.S. 064 PURA BELPRE	8.3	15.3	A	9	ESMS	B	Elementary	Underdeveloped with Proficient Features (2008-09)	ICI
A	9.8	Restructuring (Advanced) -  Focused	D	61.41	81.5	Kerry Castellano	52.1	09X070	B	P.S. 070 MAX SCHOENFELD	5.3	14.3	A	9	ESMS	B	Elementary	Proficient (2007-08)	ICI
A	6.0	Restructuring (Advanced) -  Focused	B	63.34	73.7	Jean Mirvil	46.0	09X073	C	P.S. 073 BRONX	10.1	11.6	A	9	ESMS	C	Elementary	Underdeveloped with Proficient Features (2008-09)	ICI
""						Patricia West		09X090		P.S. 090 GEORGE MEANY				9	ESMS		Elementary		ICI
""		In Good Standing							F									Underdeveloped with Proficient Features (2007-08)	
A	8.3	In Good Standing	A	65.24	98.0	Amanda Blatter	56.5	09X109	B	P.S. 109 SEDGWICK	11.7	21.5	A	9	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	3.8	In Good Standing	A	69.68	88.0	Daisy Perez	48.2	09X110	A	P.S. 110 THEODORE SCHOENFELD	12.8	23.2	A	9	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	3.0	Restructuring (year 2) -  Focused	B	64.40	80.8	Olivia Francis-Webber	52.9	09X114	D	P.S. X114 - LUIS LLORENS TORRES SCHOOLS	9.7	15.2	A	9	ESMS	B	Elementary	Proficient (2008-09)	ESO
A	9.0	Restructuring (Advanced) -  Focused	C	2.88	87.2	Delise Jones	48.8	09X117	B	I.S. 117 JOSEPH H. WADE	7.7	21.7	A	9	ESMS	A	Middle	Proficient (2007-08)	Fordham
A	11.3	In Good Standing	C	65.24	79.5	Nadine Kee-Foster	45.2	09X126	B	P.S. 126 DR MARJORIE H DUNBAR	7.2	15.8	A	9	ESMS	B	Elementary	Proficient (2007-08)	ICI
A	8.3	In Good Standing	B	3.43	79.6	Jorisis Stupart	43.3	09X128	B	MOTT HALL III	8.1	19.9	A	9	ESMS	A	Middle	Well Developed (2007-08)	CEI-PEA
B	2.3	Restructuring (Advanced) -  Comprehensive	D	66.59	56.9	Anissa Chalmers	37.2	09X132	C	P.S. 132 GARRET A. MORGAN	6.0	11.4	B	9	ESMS	C	Elementary	Proficient (2008-09)	CEI-PEA
A	12.0	Restructuring (year 2) -  Focused	A	2.79	100.9	Robert Hannibal	52.8	09X145	B	J.H.S. 145 ARTURO TOSCANINNI	12.7	23.4	A	9	ESMS	A	Middle	Proficient (2007-08)	ESO
A	4.5	In Good Standing	C	66.79	92.2	Dilsia Rivera-Martinez	57.2	09X163	B	P.S. 163 ARTHUR A. SCHOMBURG	7.0	23.5	A	9	ESMS	A	Elementary	Proficient (2007-08)	ESO
""						Lauren Reiss		09X166		J.H.S. 166 ROBERTO CLEMENTE				9	ESMS		Middle		ESO
""		Restructuring (Advanced) -  Focused							D									Proficient (2007-08)	
A	11.3	Corrective Action (year 2) -  Focused	B	65.24	97.1	Lilia Navarrete	57.4	09X199	C	P.S. 199X - THE SHAKESPEARE SCHOOL	8.4	20.0	A	9	ESMS	A	Elementary	Proficient (2008-09)	CEI-PEA
A	4.5	In Good Standing	A	64.70	95.1	Marcy Glattstein	53.0	09X204	A	P.S. 204 MORRIS HEIGHTS	12.6	25.0	A	9	ESMS	A	Elementary	Well Developed (2007-08)	CEI-PEA
A	7.5	In Good Standing	A	3.25	90.5	Sheri Warren	49.6	09X215	A	KAPPA	11.7	21.7	A	9	ESMS	A	Middle	Well Developed (2007-08)	CEI-PEA
A	6.0	In Good Standing	A	59.87	92.1	Leticia Rosario	49.9	09X218	C	P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL	12.7	23.5	A	9	ESMS	A	K-8	Proficient (2008-09)	ICI
A	8.3	Restructuring (year 1) -  Focused	C	2.73	76.5	Dominic Cipollone	38.6	09X219	D	I.S. 219 NEW VENTURE SCHOOL	7.8	21.8	B	9	ESMS	A	Middle	Proficient (2008-09)	CEI-PEA
C	3	In Good Standing	C	1.87	53.3	Ryan Scallon	32.5	09X227	B	BRONX EXPEDITIONARY LEARNING HIGH SCHOOL	6.9	10.9	B	9	HS	D	High School	Underdeveloped with Proficient Features (2008-09)	ESO
A	7.5	Corrective Action (year 2) -  Comprehensive	D	2.77	74.6	Ezra Matthias	41.5	09X229	B	I.S. 229 ROLAND PATTERSON	5.9	19.7	A	9	ESMS	A	Middle	Proficient (2007-08)	AED
A	11.3	Restructuring (year 1) -  Comprehensive	B	61.76	95.7	Rowena Penn-Jackson	60.0	09X230	F	P.S. 230 DR ROLAND N. PATTERSON	9.6	14.8	A	9	ESMS	B	Elementary	Underdeveloped with Proficient Features (2008-09)	ESO
A	6	In Good Standing	B	2.34	70.8	Osei Owusu-Afriye	39.4	09X231	B	EAGLE ACADEMY FOR YOUNG MEN	10.0	15.4	B	9	HS	B	High School	Proficient (2008-09)	New Visions
A	7.5	Restructuring (year 1) -  Focused	A	2.82	82.9	Neifi Acosta	43.4	09X232	C	I.S. 232	12.7	19.3	A	9	ESMS	A	Middle	Proficient (2008-09)	CEI-PEA
C	1	In Good Standing	D	1.87	53.1	Jonathan Foy	32.6	09X239	B	URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE	5.9	13.6	B	9	HS	B	High School	Well Developed (2007-08)	ESO
""				2.87		Kenneth Baum		09X241		URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE				9	HS		High School		ESO
""	0	In Good Standing																Well Developed (2008-09)	
""						Tammy Smith		09X250		EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL				9	ESMS		Middle		ESO
""		In Good Standing							F									Proficient (2008-09)	
A	6	In Good Standing	C	2.42	78.4	Tammy Smith	42.7	09X250		EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL	7.0	22.7	A	9	HS	A	High School	Proficient (2008-09)	ESO
A	9	In Good Standing	C	2.57	87.2	David Tinagero	48.6	09X252		MOTT HALL BRONX HIGH SCHOOL	7.8	21.8	A	9	HS	A	High School	Well Developed (2008-09)	Replications, Inc.
B	3	In Good Standing	B	2.86	68.0	Edward Tom	40.9	09X260		BRONX CENTER FOR SCIENCE AND MATHEMATICS	8.9	15.2	B	9	HS	B	High School	Well Developed (2008-09)	New Visions
B	6	In Good Standing	A	2.10	65.8	Brady Smith	32.2	09X263		VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL	10.7	16.9	C	9	HS	B	High School	Well Developed (2008-09)	ESO
B	4	In Good Standing	F	2.00	59.8	MARTA COLON	37.6	09X276		LEADERSHIP INSTITUTE	4.8	13.4	B	9	HS	C	High School	Underdeveloped with Proficient Features (2008-09)	New Visions
A	8	In Good Standing	A	1.77	83.4	Charles Osewalt	44.6	09X297	B	MORRIS ACADEMY FOR COLLABORATIVE STUDIES	11.9	18.9	A	9	HS	A	High School	Proficient (2007-08)	ESO
B	0.8	In Good Standing	A	3.11	58.7	Patricia Bentley	29.5	09X303	B	I.S. X303 LEADERSHIP & COMMUNITY SERVICE	11.2	17.2	C	9	ESMS	A	Middle	Well Developed (2007-08)	CEI-PEA
A	3.8	Restructuring (Advanced) -  Focused	A	2.83	84.5	Lauren Wilkins	47.1	09X313	D	I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT	10.5	23.1	A	9	ESMS	A	Middle	Proficient (2008-09)	ESO
B	3.8	In Good Standing	B	2.82	67.6	Nick Marinacci	32.0	09X323	A	BRONX WRITING ACADEMY	9.6	22.2	C	9	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	9.0	Corrective Action (year 2) -  Focused	B	2.68	85.5	Patrick Kelly	46.7	09X325	B	URBAN SCIENCE ACADEMY	9.4	20.4	A	9	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	5.3	In Good Standing	A	3.15	81.8	Manuel Ramirez	40.3	09X327	A	COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327	13.2	23.0	B	9	ESMS	A	Middle	Well Developed (2007-08)	CEI-PEA
A	8.3	Restructuring (year 1) -  Comprehensive	D	2.72	73.7	Dorald Bastian	40.4	09X328	D	NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL	6.0	19.0	B	9	ESMS	A	Middle	Proficient (2008-09)	CEI-PEA
""				2.08		Rod Bowen		09X329		DREAMYARD PREPARATORY SCHOOL				9	HS		High School		ESO
""	2	Pending																Proficient (2008-09)	
A	9.0	Restructuring (year 2) -  Focused	C	2.77	83.1	Jason Levy	45.5	09X339	B	I.S. 339	7.9	20.7	A	9	ESMS	A	Middle	Proficient (2007-08)	ESO
""				2.00		ARISLEYDA URENA		09X365		ACADEMY FOR LANGUAGE AND TECHNOLOGY				9	HS		High School		New Visions
""	7	Pending																Proficient (2008-09)	
A	10	In Good Standing	A	1.86	85.2	Joaquin Vega	48.7	09X403	A	BRONX INTERNATIONAL HIGH SCHOOL	12.6	13.9	A	9	HS	B	High School	Well Developed (2007-08)	ESO
A	8	In Good Standing	B	2.03	74.0	Wade Fuller	42.5	09X404	B	SCHOOL FOR EXCELLENCE	9.5	14.0	A	9	HS	B	High School	Well Developed (2007-08)	ESO
B	4	In Good Standing	C	2.02	54.1	Enrique Lizardi	32.9	09X412	B	BRONX HIGH SCHOOL OF BUSINESS	7.4	9.8	B	9	HS	D	High School	Well Developed (2007-08)	CUNY
A	7	In Good Standing	B	2.63	71.7	William Quintana	41.1	09X413	A	BRONX HIGH SCHOOL FOR MEDICAL SCIENCE	8.7	14.9	B	9	HS	B	High School	Well Developed (2007-08)	CUNY
B	9	In Good Standing	A	1.86	64.6	Nasib Hoxha	35.4	09X414	A	JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS	10.8	9.4	B	9	HS	D	High School	Proficient (2007-08)	CUNY
B	2.3	In Good Standing	C	3.38	57.4	Meisha Ross-Porter	29.6	09X505	C	BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE	7.4	18.1	C	9	ESMS	A	Middle	Underdeveloped with Proficient Features (2008-09)	ESO
B	1	In Good Standing	B	2.41	56.6	Meisha Ross-Porter	33.4	09X505	B	BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE	8.5	13.7	B	9	HS	B	High School	Underdeveloped with Proficient Features (2008-09)	ESO
C	0.0	Improvement (year 2) -  Basic	B	3.08	45.3	Rahesha Amon	18.5	09X517	D	FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL	9.4	17.4	F	9	ESMS	A	Middle	Proficient (2008-09)	Replications, Inc.
B	2	Improvement (year 2) -  Basic	A	2.45	65.3	Rahesha Amon	35.3	09X517	A	FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL	10.8	17.2	B	9	HS	B	High School	Proficient (2008-09)	Replications, Inc.
C	1	In Good Standing	B	2.25	53.9	Kenneth Gaskins,Jr.	28.9	09X525	B	BRONX LEADERSHIP ACADEMY HIGH SCHOOL	9.8	14.2	C	9	HS	B	High School	Proficient (2007-08)	CEI-PEA
B	2	In Good Standing	B	2.13	59.1	ELYSE DOTI	30.3	09X527	A	BRONX LEADERSHIP ACADEMY II HIGH SCHOOL	8.4	18.4	C	9	HS	A	High School	Proficient (2007-08)	New Visions
A	7	In Good Standing	B	1.95	98.9	TANYA JOHN	60.0	09X543	A	HIGH SCHOOL FOR VIOLIN AND DANCE	10.1	21.8	A	9	HS	A	High School	Well Developed (2007-08)	ESO
A	9.8	In Good Standing	B	58.11	84.9	Denise Brown	45.8	10X003	B	P.S. 3 RAUL JULIA MICRO SOCIETY	10.1	19.2	A	10	ESMS	A	K-8	Well Developed (2007-08)	ESO
A	8.3	Corrective Action (year 2) -  Focused	C	59.55	77.2	Ren\u00E3\u00A9E Cloutier	45.1	10X007	C	P.S. 007 KINGSBRIDGE	7.7	16.1	A	10	ESMS	B	Elementary	Proficient (2008-09)	ESO
A	12.0	In Good Standing	B	55.58	99.3	Rosa Maria Peralta	58.5	10X008	B	P.S. 008 ISSAC VARIAN	8.1	20.7	A	10	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	6.0	In Good Standing	B	65.54	77.8	Denise Eggleston	43.0	10X009	A	P.S. 9 RYER AVENUE ELEMENTARY SCHOOL	9.5	19.3	A	10	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	12.0	In Good Standing	A	60.77	108.5	Eddice Mebane-Griffin	58.6	10X015	A	P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING	12.9	25.0	A	10	ESMS	A	K-8	Well Developed (2007-08)	ESO
A	14.3	In Good Standing	A	58.58	93.4	Carol Carlsen	47.8	10X020	B	P.S. 20 P.O.GEORGE J. WERDAN III	10.4	20.9	A	10	ESMS	A	K-8	Well Developed (2007-08)	ESO
A	2.3	In Good Standing	F	26.47	70.9	Philip Thayer Scharper	48.4	10X024	A	P.S. 024 SPUYTEN DUYVIL	3.1	17.1	A	10	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	9.0	In Good Standing	A	64.16	97.1	Esther Schwartz	54.5	10X032	B	P.S. 032 BELMONT	10.7	22.9	A	10	ESMS	A	Elementary	Well Developed (2007-08)	CEI-PEA
A	9.8	In Good Standing	A	65.46	89.9	Lynette Santos	52.6	10X033	B	P.S. 033 TIMOTHY DWIGHT	10.5	17.0	A	10	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	12.0	In Good Standing	B	58.31	96.5	Kenneth Petriccione	53.2	10X037	C	P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL	9.4	21.9	A	10	ESMS	A	K-8	Proficient (2008-09)	ESO
A	9.0	Restructuring (year 1) -  Focused	B	3.16	80.3	Annamaria Giordano	44.6	10X045	D	J.H.S. 045 THOMAS C. GIORDANO	8.5	18.2	A	10	ESMS	A	Middle	Proficient (2008-09)	ESO
A	7.5	Restructuring (year 1) -  Focused	A	63.69	86.8	Jennifer Alexander-Ade	52.9	10X046	B	P.S. 046 EDGAR ALLAN POE	10.8	15.6	A	10	ESMS	B	Elementary	Proficient (2008-09)	ESO
A	1.5	In Good Standing	A	50.30	71.5	Paul Smith	41.2	10X051	B	P.S. 051 BRONX NEW SCHOOL	10.6	18.2	A	10	ESMS	A	Elementary	Proficient (2007-08)	ICI
A	2.3	Restructuring (year 1) -  Focused	C	65.44	81.7	Maribelle Nunez-Pardo	55.2	10X054	C	P.S. / I.S. 54	6.6	17.6	A	10	ESMS	A	Elementary	Proficient (2008-09)	ESO
A	9.8	Improvement (year 1) -  Basic	A	51.34	83.5	Priscilla Sheeran	45.4	10X056	C	P.S. 056 NORWOOD HEIGHTS	13.7	14.6	A	10	ESMS	B	Elementary	Well Developed (2008-09)	ESO
A	9.0	In Good Standing	A	68.32	89.5	Christine Mchugh	49.9	10X059	C	P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY	10.6	20.0	A	10	ESMS	A	Elementary	Well Developed (2008-09)	ESO
""						Pamela L Edwards		10X079		P.S. 079 CRESTON				10	ESMS		Elementary		ESO
""		Improvement (year 2) -  Basic																No QR in last two years	
A	9.8	Restructuring (Advanced) -  Focused	C	2.81	81.7	Lovey Mazique-Rivera	44.5	10X080	B	J.H.S. 080 THE MOSHOLU PARKWAY	6.9	20.5	A	10	ESMS	A	Middle	Proficient (2007-08)	AED
A	2.3	In Good Standing	B	31.12	77.5	Melodie Mashel	48.7	10X081	C	P.S. 081 ROBERT J. CHRISTEN	8.7	17.8	A	10	ESMS	A	Elementary	Well Developed (2008-09)	ESO
A	6.8	Corrective Action (year 1) -  Focused	A	66.05	79.6	Ted Husted	46.1	10X085	D	P.S. 085 GREAT EXPECTATIONS	10.4	16.3	A	10	ESMS	B	Elementary	Proficient (2008-09)	ESO
A	10.5	In Good Standing	A	63.05	102.8	Sheldon Benardo	60.0	10X086	A	P.S. 086 KINGSBRIDGE HEIGHTS	13.5	18.8	A	10	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	6.8	In Good Standing	B	61.70	92.9	Rosemary Prati	60.0	10X091	C	P.S. 091 BRONX	8.3	17.8	A	10	ESMS	A	Elementary	Proficient (2008-09)	ESO
A	6.0	Corrective Action (year 2) -  Focused	C	56.67	69.7	Diane Daprocida	44.8	10X094	C	P.S. 094 KINGS COLLEGE SCHOOL	6.9	12.0	A	10	ESMS	C	Elementary	Underdeveloped with Proficient Features (2008-09)	ICI
A	7.5	In Good Standing	C	54.41	85.8	Serge Marshall Davis	49.9	10X095	B	P.S. 095 SHEILA MENCHER	8.0	20.4	A	10	ESMS	A	K-8	Well Developed (2007-08)	ESO
A	9.0	In Good Standing	B	3.32	72.1	Elizabeth Lawrence	37.3	10X118	D	J.H.S. 118 WILLIAM W. NILES	8.3	17.5	B	10	ESMS	A	Middle	Proficient (2008-09)	ESO
B	4.5	In Good Standing	D	3.43	63.2	Lori O'Mara	35.2	10X141	C	RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)	6.4	17.1	B	10	ESMS	A	Middle	Proficient (2008-09)	ESO
A	12	In Good Standing	C	2.57	89.4	LORI O'MARA	48.8	10X141	A	RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)	7.8	20.8	A	10	HS	A	High School	Proficient (2008-09)	ESO
A	3.0	In Good Standing	A	68.65	97.9	Luis Liz	55.8	10X159	A	P.S. 159 LUIS MUNOZ MARIN BILING	14.1	25.0	A	10	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	4.5	In Good Standing	A	62.03	85.4	Maria Pietrosanti	44.9	10X205	A	P.S. 205 FIORELLO LAGUARDIA	12.9	23.1	A	10	ESMS	A	Elementary	Well Developed (2007-08)	CEI-PEA
A	12.0	Improvement (year 2) -  Basic	A	2.95	105.2	David Neering	57.1	10X206	A	I.S. 206 ANN MERSEREAU	11.1	25.0	A	10	ESMS	A	Middle	Proficient (2007-08)	ESO
B	6	In Good Standing	C	2.20	68.8	Rashid F. Davis	33.0	10X213	A	BRONX ENGINEERING AND TECHNOLOGY ACADEMY	7.6	22.2	B	10	HS	A	High School	Well Developed (2007-08)	New Visions
A	3.0	In Good Standing	A	3.29	73.0	Lynn Passarella	39.1	10X225	F	THEATRE ARTS PRODUCTION COMPANY SCHOOL	12.3	18.6	B	10	ESMS	A	Middle	Proficient (2008-09)	New Visions
A	6	In Good Standing	A	2.66	85.8	Lynn Passarella	47.8	10X225		THEATRE ARTS PRODUCTION COMPANY SCHOOL	11.8	20.2	A	10	HS	A	High School	Proficient (2008-09)	New Visions
B	2.3	Improvement (year 2) -  Basic	B	60.23	67.8	Gloria Darden	39.2	10X226	B	P.S. 226	9.0	17.3	B	10	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	3.0	In Good Standing	A	3.08	88.6	Donalda Chumney	49.7	10X228	A	JONAS BRONCK ACADEMY	12.6	23.3	A	10	ESMS	A	Middle	Well Developed (2008-09)	ESO
""						Rodney Fisher		10X237		THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS				10	ESMS		Middle		ESO
""		In Good Standing							F									Proficient (2008-09)	
A	7	In Good Standing	A	2.28	85.4	Rodney Fisher	43.3	10X237	A	THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS	10.7	24.4	A	10	HS	A	High School	Proficient (2008-09)	ESO
A	7.5	In Good Standing	A	3.12	83.7	Kenneth Baum	44.9	10X241	B	URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE	10.8	20.5	A	10	ESMS	A	Middle	Well Developed (2008-09)	ESO
A	3.8	In Good Standing	B	2.93	72.8	Wilper Morales	36.2	10X243	C	WEST BRONX ACADEMY FOR THE FUTURE	9.7	23.1	B	10	ESMS	A	Middle	Proficient (2008-09)	New Visions
B	1	In Good Standing	B	1.98	57.5	Wilper Morales	32.4	10X243	C	WEST BRONX ACADEMY FOR THE FUTURE	9.1	15.0	B	10	HS	B	High School	Proficient (2008-09)	New Visions
A	10.5	In Good Standing	A	2.84	95.1	Dolores Peterson	48.4	10X244	B	THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM	11.2	25.0	A	10	ESMS	A	Middle	Well Developed (2007-08)	AED
A	5.3	In Good Standing	B	64.89	89.3	Beverly Miller	59.6	10X246	B	P.S. 246 POE CENTER	8.6	15.8	A	10	ESMS	B	Elementary	Proficient (2007-08)	ESO
A	8.3	Corrective Action (year 2) -  Focused	B	2.69	84.9	Wilford Hemans	43.4	10X254	A	I.S. 254	8.7	24.5	A	10	ESMS	A	Middle	Well Developed (2007-08)	AED
A	5	In Good Standing	A	1.65	76.2	Ronald Newlon	40.7	10X268		KINGSBRIDGE INTERNATIONAL HIGH SCHOOL	11.3	19.2	B	10	HS	A	High School	Proficient (2008-09)	ESO
A	10.5	Restructuring (Advanced) -  Focused	A	62.46	95.0	James Waslawski	54.4	10X279	C	P.S. 279 CAPTAIN MANUEL RIVERA, JR.	10.8	19.3	A	10	ESMS	A	K-8	Proficient (2008-09)	ESO
A	9.8	In Good Standing	B	51.65	77.5	James Weeks	37.2	10X280	B	P.S./M.S. 280 MOSHOLU PARKWAY	9.8	20.7	B	10	ESMS	A	K-8	Well Developed (2007-08)	ESO
B	5	In Good Standing	B	2.39	65.6	Evan Schwartz	34.5	10X284	A	BRONX SCHOOL OF LAW AND FINANCE	8.1	18.0	B	10	HS	A	High School	Well Developed (2007-08)	New Visions
